date time julian Pres Tair Tdew Dir Spd Gust Cc Cht Vis  Radn   RelH Rain Rain
2017-01-20-00:47 2457774.0326389  994.5 47.1 40.3 134  7.3  8.5   X  M   M     4.1  77.3 0.00 0.01
2017-01-20-00:48 2457774.0333333  994.5 47.1 40.5 134  7.5 10.1   X  M   M     4.0  77.7 0.00 0.01
2017-01-20-00:49 2457774.0340278  994.5 47.1 40.5 136  6.2  7.8   X  M   M     3.5  77.7 0.00 0.01
2017-01-20-00:50 2457774.0347222  994.5 47.2 40.5 147  7.2  8.4   X  M   M     2.7  77.5 0.00 0.01
2017-01-20-00:51 2457774.0354167  994.5 47.1 40.5 138  7.3  8.2   X  M   M     1.9  77.7 0.00 0.01
2017-01-20-00:52 2457774.0361111  994.6 47.1 40.5 139  7.7  9.4   X  M   M     1.3  77.4 0.00 0.01
2017-01-20-00:53 2457774.0368056  994.5 47.1 40.5 136  9.0 10.3   X  M   M     1.2  77.4 0.00 0.01
2017-01-20-00:54 2457774.0375000  994.5 47.2 40.4 131  7.9 10.0   X  M   M     1.0  77.2 0.00 0.01
2017-01-20-00:55 2457774.0381944  994.5 47.2 40.4 135  9.6 10.8   X  M   M     0.8  76.8 0.00 0.01
2017-01-20-00:56 2457774.0388889  994.5 47.3 40.4 143  8.0  8.8   X  M   M     0.8  76.8 0.00 0.01
2017-01-20-00:57 2457774.0395833  994.7 47.3 40.4 137  8.2 10.7   X  M   M     0.8  76.8 0.00 0.01
2017-01-20-00:58 2457774.0402778  994.7 47.3 40.4 138  7.1  7.9   X  M   M     0.7  76.9 0.00 0.01
2017-01-20-00:59 2457774.0409722  994.7 47.3 40.5 134  6.8  7.9   X  M   M     0.7  77.0 0.00 0.01
2017-01-20-01:00 2457774.0416667  994.7 47.4 40.4 153  6.9  7.8   X  M   M     0.7  76.7 0.00 0.01
2017-01-20-01:01 2457774.0423611  994.7 47.3 40.4 133  5.9  7.3   X  M   M     0.7  76.6 0.00 0.01
2017-01-20-01:02 2457774.0430556  994.7 47.3 40.4 143  7.0  7.6   X  M   M     0.7  76.9 0.00 0.01
2017-01-20-01:03 2457774.0437500  994.7 47.4 40.4 144  6.4  7.1   X  M   M     0.6  76.5 0.00 0.01
2017-01-20-01:04 2457774.0444444  994.7 47.5 40.4 138  6.2  7.6   X  M   M     0.5  76.3 0.00 0.01
2017-01-20-01:05 2457774.0451389  994.7 47.6 40.5 146  5.8  6.9   X  M   M     0.5  76.3 0.00 0.01
2017-01-20-01:06 2457774.0458333  994.7 47.6 40.4 133  6.8  9.4   X  M   M     0.5  76.0 0.00 0.01
2017-01-20-01:07 2457774.0465278  994.7 47.6 40.3 138  8.0  8.9   X  M   M     0.5  75.7 0.00 0.01
2017-01-20-01:08 2457774.0472222  994.7 47.5 40.2 140  8.0 10.0   X  M   M     0.5  75.5 0.00 0.01
2017-01-20-01:09 2457774.0479167  994.7 47.5 40.2 136  8.1  9.2   X  M   M     0.5  75.5 0.00 0.01
2017-01-20-01:10 2457774.0486111  994.7 47.5 40.1 142  7.6  8.1   X  M   M     0.3  75.1 0.00 0.01
2017-01-20-01:11 2457774.0493056  994.7 47.6 40.1 155  8.0 10.4   X  M   M     0.2  75.2 0.00 0.01
2017-01-20-01:12 2457774.0500000  994.7 47.5 40.0 139  7.1  7.8   X  M   M     0.2  75.1 0.00 0.01
2017-01-20-01:13 2457774.0506944  994.7 47.5 40.1 143  6.3  8.4   X  M   M     0.2  75.3 0.00 0.01
2017-01-20-01:14 2457774.0513889  994.7 47.5 40.0 140  6.6  8.5   X  M   M     0.2  75.1 0.00 0.01
2017-01-20-01:15 2457774.0520833  994.7 47.5 40.0 136  7.4  8.9   X  M   M     0.2  75.2 0.00 0.01
2017-01-20-01:16 2457774.0527778  994.8 47.5 40.1 141  6.8  8.1   X  M   M     0.2  75.1 0.00 0.01
2017-01-20-01:17 2457774.0534722  994.8 47.6 40.1 134  7.1  8.9   X  M   M     0.2  75.0 0.00 0.01
2017-01-20-01:18 2457774.0541667  994.8 47.5 40.0 138  6.9  8.9   X  M   M     0.2  75.1 0.00 0.01
2017-01-20-01:19 2457774.0548611  994.8 47.5 40.1 150  6.3  7.9   X  M   M     0.1  75.2 0.00 0.01
2017-01-20-01:20 2457774.0555556  994.8 47.6 40.1 149  5.9  6.5   X  M   M     0.1  75.2 0.00 0.01
2017-01-20-01:21 2457774.0562500  994.8 47.6 40.1 145  7.8  9.5   X  M   M     0.0  74.9 0.00 0.01
2017-01-20-01:22 2457774.0569444  994.8 47.6 39.9 136  7.2  8.1   X  M   M     0.0  74.5 0.00 0.01
2017-01-20-01:23 2457774.0576389  994.8 47.7 40.1 162  5.4  8.1   X  M   M     0.0  74.7 0.00 0.01
2017-01-20-01:24 2457774.0583333  994.8 47.6 39.6 165 12.1 13.5   X  M   M     0.0  73.8 0.00 0.01
2017-01-20-01:25 2457774.0590278  994.8 47.6 39.7 153  8.0 10.4   X  M   M     0.0  74.0 0.00 0.01
2017-01-20-01:26 2457774.0597222  994.8 47.6 39.8 174  7.7  9.5   X  M   M     0.0  74.1 0.00 0.01
2017-01-20-01:27 2457774.0604167  994.9 47.6 39.6 162  9.6 11.1   X  M   M     0.0  73.6 0.00 0.01
2017-01-20-01:28 2457774.0611111  994.9 47.6 39.6 176  6.8  7.2   X  M   M     0.0  73.5 0.00 0.01
2017-01-20-01:29 2457774.0618056  994.9 47.6 39.6 166  5.9  7.1   X  M   M     0.0  73.8 0.00 0.01
2017-01-20-01:30 2457774.0625000  994.9 47.6 39.8 158  7.5 10.5   X  M   M     0.0  73.9 0.00 0.01
2017-01-20-01:31 2457774.0631944  994.7 47.6 39.7 151  5.7  6.3   X  M   M     0.0  73.7 0.00 0.01
2017-01-20-01:32 2457774.0638889  994.7 47.8 39.7 157  7.1  9.8   X  M   M     0.0  73.6 0.00 0.01
2017-01-20-01:33 2457774.0645833  994.7 47.7 39.5 145  7.1  8.4   X  M   M     0.0  72.9 0.00 0.01
2017-01-20-01:34 2457774.0652778  994.8 47.8 39.7 153  5.0  5.4   X  M   M     0.0  73.5 0.00 0.01
2017-01-20-01:35 2457774.0659722  994.8 47.8 39.7 167  3.7  4.0   X  M   M     0.0  73.4 0.00 0.01
2017-01-20-01:36 2457774.0666667  994.8 47.8 39.9 142  3.8  4.6   X  M   M     0.0  73.8 0.00 0.01
2017-01-20-01:37 2457774.0673611  994.8 47.8 39.8 154  4.8  5.7   X  M   M     0.0  73.7 0.00 0.01
2017-01-20-01:38 2457774.0680556  994.8 47.8 39.8 148  6.4  8.7   X  M   M     0.0  73.5 0.00 0.01
2017-01-20-01:39 2457774.0687500  994.8 47.8 39.8 165  6.3  7.2   X  M   M     0.0  73.5 0.00 0.01
2017-01-20-01:40 2457774.0694444  994.8 47.8 39.7 136  6.2  7.6   X  M   M     0.0  73.3 0.00 0.01
2017-01-20-01:41 2457774.0701389  994.9 47.8 39.7 135  6.5  7.5   X  M   M     0.0  73.5 0.00 0.01
2017-01-20-01:42 2457774.0708333  994.9 47.8 39.6 144  7.8  9.8   X  M   M     0.0  73.0 0.00 0.01
2017-01-20-01:43 2457774.0715278  994.9 47.8 39.6 151  5.4  6.2   X  M   M     0.0  73.2 0.00 0.01
2017-01-20-01:44 2457774.0722222  994.9 47.7 39.5 165  7.8  8.8   X  M   M     0.0  73.0 0.00 0.01
2017-01-20-01:45 2457774.0729167  994.9 47.8 39.6 168  6.6  7.8   X  M   M     0.0  73.2 0.00 0.01
2017-01-20-01:46 2457774.0736111  994.9 47.7 39.5 169  7.4  9.1   X  M   M     0.0  73.1 0.00 0.01
2017-01-20-01:47 2457774.0743056  994.9 47.7 39.4 145  6.6  7.8   X  M   M     0.0  72.7 0.00 0.01
2017-01-20-01:48 2457774.0750000  994.9 47.8 39.5 162  7.4  8.5   X  M   M     0.0  72.8 0.00 0.01
2017-01-20-01:49 2457774.0756944  995.0 47.7 39.5 161  5.3  6.9   X  M   M     0.0  73.0 0.00 0.01
2017-01-20-01:50 2457774.0763889  994.9 47.7 39.3 162  7.7  9.1   X  M   M     0.0  72.5 0.00 0.01
2017-01-20-01:51 2457774.0770833  994.9 47.8 39.3 175  6.7  9.1   X  M   M     0.0  72.3 0.00 0.01
2017-01-20-01:52 2457774.0777778  994.9 47.8 39.3 168  6.8  8.9   X  M   M     0.0  72.3 0.00 0.01
2017-01-20-01:53 2457774.0784722  994.9 47.8 39.2 162  9.3 11.1   X  M   M     0.0  72.0 0.00 0.01
2017-01-20-01:54 2457774.0791667  994.9 47.8 39.3 157  7.5  8.4   X  M   M     0.0  72.1 0.00 0.01
2017-01-20-01:55 2457774.0798611  994.9 47.8 39.2 177  8.3  9.5   X  M   M     0.0  71.8 0.00 0.01
2017-01-20-01:56 2457774.0805556  994.8 47.9 39.1 160  9.5 11.1   X  M   M     0.0  71.7 0.00 0.01
2017-01-20-01:57 2457774.0812500  994.8 47.9 39.2 154  6.3  8.5   X  M   M     0.0  71.5 0.00 0.01
2017-01-20-01:58 2457774.0819444  994.9 47.9 39.2 153  6.8  7.1   X  M   M     0.0  71.5 0.00 0.01
2017-01-20-01:59 2457774.0826389  994.9 48.0 39.3 176  4.9  6.0   X  M   M     0.0  71.6 0.00 0.01
2017-01-20-02:00 2457774.0833333  994.9 48.0 39.3 162  6.0  7.1   X  M   M     0.0  71.5 0.00 0.01
2017-01-20-02:01 2457774.0840278  994.9 48.0 39.3 161  5.2  6.2   X  M   M     0.0  71.5 0.00 0.01
2017-01-20-02:02 2457774.0847222  994.9 48.1 39.3 169  5.5  6.2   X  M   M     0.0  71.5 0.00 0.01
2017-01-20-02:03 2457774.0854167  994.8 48.1 39.3 163  6.2  8.2   X  M   M     0.0  71.6 0.00 0.01
2017-01-20-02:04 2457774.0861111  994.9 48.1 39.3 161  6.2  7.8   X  M   M     0.0  71.5 0.00 0.01
2017-01-20-02:05 2457774.0868056  994.9 48.1 39.2 162  6.4  7.6   X  M   M     0.0  71.1 0.00 0.01
2017-01-20-02:06 2457774.0875000  994.9 48.1 39.1 164  6.3  7.2   X  M   M     0.0  71.1 0.00 0.01
2017-01-20-02:07 2457774.0881944  994.9 48.0 39.2 165  4.8  6.0   X  M   M     0.0  71.4 0.00 0.01
2017-01-20-02:08 2457774.0888889  994.9 48.0 39.2 148  6.6  8.2   X  M   M     0.0  71.3 0.00 0.01
2017-01-20-02:09 2457774.0895833  994.9 48.1 39.2 135  5.1  6.3   X  M   M     0.0  71.3 0.00 0.01
2017-01-20-02:10 2457774.0902778  994.9 48.0 39.2 152  4.9  6.2   X  M   M     0.0  71.5 0.00 0.01
2017-01-20-02:11 2457774.0909722  994.9 48.1 39.3 148  5.7  7.1   X  M   M     0.0  71.4 0.00 0.01
2017-01-20-02:12 2457774.0916667  994.9 48.1 39.4 143  5.7  7.3   X  M   M     0.0  71.6 0.00 0.01
2017-01-20-02:13 2457774.0923611  994.9 48.1 39.3 154  4.8  5.6   X  M   M     0.0  71.3 0.00 0.01
2017-01-20-02:14 2457774.0930556  994.8 48.2 39.4 138  5.4  7.1   X  M   M     0.0  71.5 0.00 0.01
2017-01-20-02:15 2457774.0937500  994.7 48.1 39.3 155  5.2  6.5   X  M   M     0.0  71.4 0.00 0.01
2017-01-20-02:16 2457774.0944444  994.7 48.1 39.3 146  5.1  5.7   X  M   M     0.0  71.3 0.00 0.01
2017-01-20-02:17 2457774.0951389  994.9 48.1 39.3 128  5.7  6.9   X  M   M     0.0  71.5 0.00 0.01
2017-01-20-02:18 2457774.0958333  994.9 48.1 39.3 130  6.1  6.9   X  M   M     0.0  71.2 0.00 0.01
2017-01-20-02:19 2457774.0965278  994.7 48.2 39.3 135  6.9  8.1   X  M   M     0.0  71.1 0.00 0.01
2017-01-20-02:20 2457774.0972222  994.6 48.1 39.1 132  7.1  8.2   X  M   M     0.0  70.8 0.00 0.01
2017-01-20-02:21 2457774.0979167  994.6 48.1 39.1 131  7.2  8.4   X  M   M     0.0  70.7 0.00 0.01
2017-01-20-02:22 2457774.0986111  994.6 48.0 39.0 135  7.1  8.2   X  M   M     0.0  70.7 0.00 0.01
2017-01-20-02:23 2457774.0993056  994.6 48.0 39.0 142  6.6  8.1   X  M   M     0.0  70.9 0.00 0.01
2017-01-20-02:24 2457774.1000000  994.6 48.1 39.1 144  6.0  7.1   X  M   M     0.0  71.0 0.00 0.01
2017-01-20-02:25 2457774.1006944  994.6 48.1 39.2 134  6.7  7.6   X  M   M     0.0  71.2 0.00 0.01
2017-01-20-02:26 2457774.1013889  994.6 48.1 39.1 146  7.9 10.5   X  M   M     0.0  70.9 0.00 0.01
2017-01-20-02:27 2457774.1020833  994.6 48.0 39.0 140  7.5  8.7   X  M   M     0.0  70.6 0.00 0.01
2017-01-20-02:28 2457774.1027778  994.6 48.1 39.1 131  7.4  9.5   X  M   M     0.0  70.8 0.00 0.01
2017-01-20-02:29 2457774.1034722  994.6 48.1 39.1 134  6.9  7.8   X  M   M     0.0  70.7 0.00 0.01
2017-01-20-02:30 2457774.1041667  994.6 48.2 39.1 140  6.5  7.2   X  M   M     0.0  70.7 0.00 0.01
2017-01-20-02:31 2457774.1048611  994.6 48.1 39.1 139  5.5  6.2   X  M   M     0.0  70.7 0.00 0.01
2017-01-20-02:32 2457774.1055556  994.6 48.0 39.0 142  6.2  7.6   X  M   M     0.0  70.8 0.00 0.01
2017-01-20-02:33 2457774.1062500  994.6 48.0 39.1 161  5.7  6.5   X  M   M     0.0  70.9 0.00 0.01
2017-01-20-02:34 2457774.1069444  994.6 48.0 38.8 143  7.2  9.5   X  M   M     0.0  70.5 0.00 0.01
2017-01-20-02:35 2457774.1076389  994.6 47.9 38.9 149  7.2  9.1   X  M   M     0.0  70.8 0.00 0.01
2017-01-20-02:36 2457774.1083333  994.6 47.9 38.8 145  8.2  8.9   X  M   M     0.0  70.5 0.00 0.01
2017-01-20-02:37 2457774.1090278  994.5 47.9 38.8 147  6.6  7.5   X  M   M     0.0  70.4 0.00 0.01
2017-01-20-02:38 2457774.1097222  994.6 47.9 38.8 161  7.1  8.8   X  M   M     0.0  70.4 0.00 0.01
2017-01-20-02:39 2457774.1104167  994.6 47.9 38.7 163  6.8  8.1   X  M   M     0.0  70.4 0.00 0.01
2017-01-20-02:40 2457774.1111111  994.6 47.9 38.8 144  7.1  7.8   X  M   M     0.0  70.5 0.00 0.01
2017-01-20-02:41 2457774.1118056  994.6 48.0 38.8 161  7.0  8.5   X  M   M     0.0  70.2 0.00 0.01
2017-01-20-02:42 2457774.1125000  994.6 48.0 38.7 161  7.2  8.2   X  M   M     0.0  70.0 0.00 0.01
2017-01-20-02:43 2457774.1131944  994.6 48.1 38.8 153  6.2  7.8   X  M   M     0.0  70.0 0.00 0.01
2017-01-20-02:44 2457774.1138889  994.5 48.0 38.6 178  6.2  6.9   X  M   M     0.0  69.6 0.00 0.01
2017-01-20-02:45 2457774.1145833  994.5 48.0 38.6 155  6.6  7.5   X  M   M     0.0  69.6 0.00 0.01
2017-01-20-02:46 2457774.1152778  994.5 48.0 38.5 158  6.8  7.9   X  M   M     0.0  69.5 0.00 0.01
2017-01-20-02:47 2457774.1159722  994.5 48.1 38.6 156  7.6  9.5   X  M   M     0.0  69.4 0.00 0.01
2017-01-20-02:48 2457774.1166667  994.5 48.0 38.3 169  6.2  7.9   X  M   M     0.0  69.0 0.00 0.01
2017-01-20-02:49 2457774.1173611  994.5 48.1 38.6 165  5.8  6.9   X  M   M     0.0  69.4 0.00 0.01
2017-01-20-02:50 2457774.1180556  994.5 48.1 38.4 164  7.5  8.1   X  M   M     0.0  68.9 0.00 0.01
2017-01-20-02:51 2457774.1187500  994.5 48.2 38.5 154  6.5  8.2   X  M   M     0.0  69.2 0.00 0.01
2017-01-20-02:52 2457774.1194444  994.5 48.1 38.3 155  7.3  8.4   X  M   M     0.0  68.8 0.00 0.01
2017-01-20-02:53 2457774.1201389  994.5 48.1 38.5 170  6.4  7.1   X  M   M     0.0  69.0 0.00 0.01
2017-01-20-02:54 2457774.1208333  994.5 48.2 38.6 160  4.5  5.6   X  M   M     0.0  69.2 0.00 0.01
2017-01-20-02:55 2457774.1215278  994.5 48.2 38.6 146  6.1  7.8   X  M   M     0.0  69.4 0.00 0.01
2017-01-20-02:56 2457774.1222222  994.5 48.1 38.3 170  7.1  7.8   X  M   M     0.0  68.8 0.00 0.01
2017-01-20-02:57 2457774.1229167  994.5 48.1 38.5 168  6.2  6.8   X  M   M     0.0  69.1 0.00 0.01
2017-01-20-02:58 2457774.1236111  994.5 48.1 38.4 154  6.5  8.5   X  M   M     0.0  69.2 0.00 0.01
2017-01-20-02:59 2457774.1243056  994.5 48.1 38.5 164  6.0  8.2   X  M   M     0.0  69.3 0.00 0.01
2017-01-20-03:00 2457774.1250000  994.5 48.1 38.5 152  7.0  8.7   X  M   M     0.0  69.1 0.00 0.01
2017-01-20-03:01 2457774.1256944  994.5 48.1 38.5 162  7.2  8.4   X  M   M     0.0  69.0 0.00 0.01
2017-01-20-03:02 2457774.1263889  994.5 48.1 38.3 153  7.4  9.2   X  M   M     0.0  68.7 0.00 0.01
2017-01-20-03:03 2457774.1270833  994.5 48.1 38.4 145  6.0  7.2   X  M   M     0.0  68.7 0.00 0.01
2017-01-20-03:04 2457774.1277778  994.5 48.2 38.2 158  7.2  8.5   X  M   M     0.0  68.4 0.00 0.01
2017-01-20-03:05 2457774.1284722  994.5 48.1 38.2 162  7.8  9.1   X  M   M     0.0  68.4 0.00 0.01
2017-01-20-03:06 2457774.1291667  994.5 48.1 38.3 159  6.4  6.9   X  M   M     0.0  68.7 0.00 0.01
2017-01-20-03:07 2457774.1298611  994.4 48.1 38.3 168  6.9  8.7   X  M   M     0.0  68.6 0.00 0.01
2017-01-20-03:08 2457774.1305556  994.4 48.1 38.4 158  5.6  6.9   X  M   M     0.0  68.9 0.00 0.01
